# list of applications/protocols
# the appid should appeared increment 
#appid	subid	groupid	label				sublabel			description
0	0	0	unknown			unknown			unknown application
#
1	0	1	http				http				world wide web
1	1	1	http				dap				http by download accelerator plus
1	2	1	http				freshdownload			http by fresh download
1	3	1	http				audio				http - audio over hypertext transfer protocol
1	4	1	http				video				http - video over hypertext transfer protocol
1	5	1	http				cachehit			http - proxy cache hit for hypertext transfer protocol
1	6	1	http				cachemiss			http - proxy cache miss for hypertext transfer protocol
2	0	1	https				https				secure web
3	0	1	tor				tor				tor - the onion router - used for anonymization
#
#
4	0	2	smtp				smtp				mail forwarding
5	0	2	pop3				pop3				post office protocol (v2 & v3)
6	0	2	imap				imap				internet message access protocol
7	0	2	biff				biff				bsd biff new mail notification
#
#
8	0	3	smb				smb				samba
9	0	3	ftp				ftp				file transfer protocol
9	1	3	ftp				ftp_data			file transfer protocol (data stream)
9	2	3	ftp				ftp_control			file transfer protocol (control)
10	0	3	tftp				tftp				tftp - trivial file transfer protocol - used for bootstrapping
#
#
11	0	4	sip				sip				session intiation protocol - internet telephone rfc 1350
12	0	4	msn				msn_message			windows messenger
12	1	4	msn				msn_filetranser		windows messenger file transfer
13	0	4	yahoo				yahoo				yahoo messenger
14	0	4	jabber			jabber			xmpp/jabber open instance messenger protocol rfc 3920
15	0	4	qq				qq				tencent qq protocol - chinese instant messenger protocol
16	0	4	chikka			chikka			chikka - sms service which can be used without phones
17	0	4	irc				irc				internet relay chat
18	0	4	gtalk				gtalk				google talk use jabber
19	0	4	aol				aim				america online instant messenger
19	1	4	aol				aim_web_content		aim web content - ads/news downloaded by aol instant messenger
#
#
20	0	5	rtp				rtp				real time control protocol
21	0	5	rtsp				rtsp				real time stream control protocol
22	0	5	http_itunes			http_itunes			http itunes(apple's music program)
23	0	5	replaytv_ivs			replaytv_ivs			replaytv internet video sharing - digital video recorder
24	0	5	shoutcast			shoutcast			shoutcast mp3 streaming
#
#
25	0	6	skype				skype				skype
25	1	6	skype				skype2skype			skype to skype - udp voice call (program to program)
25	2	6	skype				skypeout			skype to phone - udp voice call (program to pots phone)
26	0	6	teamspeak			teamspeak			teampeak - voip application 
27	0	6	ventrilo			ventrilo			ventrilo -voip
28	0	6	h323				h323				h.323 - voice over ip
#
#
29	0	7	ntp				ntp				network time
30	0	7	dns				dns				domain name service
31	0	7	stun				stun				simple traveral of udp trough nat
32	0	7	tsp				tsp				berkely unix time synchronization protocol
33	0	7	ncp				ncp				ncp
34	0	7	whois				whois				who is
35	0	7	ident				ident				ident authentication
36	0	7	cvs				cvs				cvs - concurrent versions system
37	0	7	x11				x11				x-windows
#
#
38	0	8	radmin			radmin			radmin
39	0	8	ssh				ssh				secure shell
40	0	8	rdp				rdp				windows remote desktop protocol
41	0	8	telnet			telnet			telnet
42	0	8	vnc				vnc				vnc-virtual network computing. also known as rfb
43	0	8	rlogin			rlogin			bsd rlogin
#
#
44	0	9	battlefield1942		battlefield1942		battlefield 1942 - an ea game
45	0	9	battlefield2			battlefield2			battlefield 2 - an ea game.
46	0	9	battlefield2142		battlefield2142		battlefield 2142 - an ea game.
47	0	9	counterstrike_source		counterstrike_source		counterstrike (using the source engine) - network game
48	0	9	dayofdefeat_source		dayofdefeat_source		day of defeat: source - game (half-life 2 mod)
49	0	9	doom3				doom3				doom3- computer game
50	0	9	halflife			halflife			half life game
51	0	9	wow				wow				world of warcraft
52	0	9	quake				quake				quake game
52	1	9	quake				quake_halflife		quake 2/3 game
53	0	9	unreal			unreal			unreal game
54	0	9	direct_play			direct_play			directplay
55	0	9	starcraft			starcraft			starcraft game
56	0	9	aoe				aoe				age of empires game
57	0	9	everquest			everquest			everquest game
58	0	9	asherons			asherons			asheron's call game
59	0	9	blackwhite			blackwhite			black & white game
60	0	9	halo				halo				halo game
61	0	9	swg				swg				star wars galaxies game
62	0	9	starsiege			starsiege			starsiege
63	0	9	netrek			netrek			netrek
64	0	9	yahoo_games			yahoo_games			yahoo games
65	0	9	battlenet			battlenet			battle.net games
66	0	9	gamespy_arcade		gamespy_arcade		gamespy arcade
#
#
67	0	10	bittorrent			bittorrent			p2p filesharing
